# go_id	kind	status	crystal_refs	notes
list/list.go::method::Model.RemoveItem	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.ResetFilter	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.ResetSelected	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.Select	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SelectedItem	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetDelegate	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetFilterState	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetFilterText	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetFilteringEnabled	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetHeight	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetItem	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetItems	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetShowFilter	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetShowHelp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetShowPagination	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetShowStatusBar	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetShowTitle	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetSize	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetSpinner	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetStatusBarItemName	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SetWidth	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.SettingFilter	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.ShortHelp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.ShowFilter	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
list/list.go::method::Model.ShowHelp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
